9,sax
9,old school death metal
9,nsbm
9,musique concrete
9,minimal wave
9,minimal house
9,melodic black metal
9,kleinkunst
9,improvisation
9,hands up
9,hair metal
9,groove
9,german lyrics
9,german literature
9,gay
9,film music
9,exotica
9,drone ambient
9,cover
9,communist
9,colonia
9,classique
9,classical music
9,cantata
9,ballermann
9,atmospheric
9,actor
9,Symphonic Rock
9,Rave
9,Post punk
9,NWOBHM
9,Meditation
9,Dresden
9,Alt deutsch schnulzig
8,wolfgang voigt
8,viking metal
8,stuttgart
8,spoken
8,space age pop
8,rocksteady
8,rockpalast
8,ragga
8,orgue
8,norwegian
8,norddeutsch
8,microhouse
8,melancholy
8,math rock
8,lesser known yet streamable composers
8,klezmer
8,jazz vocal
8,indie folk
8,improv
8,guitarist
8,gesprochen
8,germania
8,garage
8,drums
8,drama
8,dnb
8,digital hardcore
8,dichter
8,depressive black metal
8,classical guitar
8,classical composers
8,britpop
8,bremen
8,baroque or early
8,bad taste
8,african
8,Schlagerfox
8,Ruhrpott
8,Post-Industrial
8,Library
8,Hammond
8,Grunge
8,German Pop
8,German Composers
8,Film-Musik
8,Drum n Bass
8,Dark metal
8,Austria
8,Ambient Techno
8,AOR
8,18th century
8,17th c
7,world fusion
7,underground rap
7,turkish
7,trombone
7,tech-house
7,tanzmusik
7,soundscape
7,singer songwriter
7,serialism
7,romantic era
7,relaxing
7,relax
7,rapcore
7,potsony
7,parody
7,ostpop
7,ostalgie
7,oldschool
7,old school
7,neofolk
7,modern composition
7,melancholic
7,meditative
7,lute music
7,lustig
7,literatur
7,late baroque
7,krustelkiste
7,komiker
7,jungle
7,jewish
7,irish
7,indiepop
7,horror punk
7,heavy prog
7,happy hardcore
7,golden oldies
7,epic metal
7,elektro
7,electro-acoustic
7,dada
7,coldwave
7,choir
7,bayrisch
7,bavarian kabarett
7,balkan
7,alternative metal
7,afrobeat
7,actress
7,acoustic guitar
7,acid techno
7,a cappella
7,UK
7,Symphonic Black Metal
7,Skinhead
7,Rhythmic Noise
